kw_norm,qid,label,ctx_sim,lbl_sim,canon,alias_exact_flag,penalty,exact_bonus,alias_bonus,total,p31_ids,p101_ids,p31_cnt,p101_cnt,p31_fuzzy_ctx
mixed convection,Q97612642,mixed-convection instabilities in chemical vapor deposition reactors,3.8,35.7,0.0,False,0,0.0,0.0,23.5,Q187685,,1,0,19.7
convective instability,Q3268911,convective instability,0.8,100.0,8.7,False,0,1.0,0.0,68.5,,,0,0,0.0
cvd,Q389735,cardiovascular disease,0.0,100.0,15.9,True,0.0,0.0,1.0,125.1,Q112193867;Q11862829,,2,0,32.2
cvd,Q505668,chemical vapor deposition,4.6,100.0,13.1,True,0.0,0.0,1.0,125.5,,,0,0,0.0
cvd,Q17928815,flna,0.0,85.7,8.4,False,0,0.0,0.0,61.0,Q7187,,1,0,22.6
cvd,Q5692507,heart valve dysplasia,0.0,85.7,7.8,False,0,0.0,0.0,60.5,Q112193867;Q929833,,2,0,30.2
cvd,Q18030587,pld1,0.0,85.7,6.5,False,0,0.0,0.0,55.2,Q7187,,1,0,22.6
cvd,Q102459691,cardiovascular digital health journal,0.0,40.0,0.0,False,0,0.0,0.0,17.6,Q16024164,,1,0,21.7
cvd,Q55118269,cardiovascular disease ontology,0.0,85.7,0.0,False,0,0.0,0.0,35.9,Q324254,,1,0,22.6
cvd,Q65391441,cvd 909 vi prime boost study,0.0,19.4,0.0,False,0,0.0,0.0,9.2,Q30612,,1,0,17.6
cvd,Q100262880,clean vehicles directive,0.0,100.0,2.2,True,0.0,0.0,1.0,96.1,Q326124,,1,0,14.4
cvd,Q63394690,cvd nutrition education for low literacy esl students,0.0,10.7,0.0,False,0,0.0,0.0,5.7,Q30612,,1,0,17.6
cvd,Q66065283,cvd 37000: immunity and microbiome studies at intestinal and systemic sites in ty21a vaccinated adults,0.0,5.7,0.0,False,0,0.0,0.0,3.7,Q30612,,1,0,17.6
cvd,Q63599804,cvd 38000: study of responses to vaccination with typhoid and/or cholera,0.0,8.0,0.0,False,0,0.0,0.0,4.6,Q30612,,1,0,17.6
cvd,Q62054033,cvd nutrition education,0.0,23.1,0.0,False,0,0.0,0.0,10.7,Q30612,,1,0,17.6
cvd,Q65382839,cvd risk reduction trial,0.0,22.2,0.0,False,0,0.0,0.0,10.3,Q30612,,1,0,17.6
cvd,Q96052471,cockpit voice and data recorder,0.0,85.7,2.0,False,0,0.0,0.0,40.3,,,0,0,0.0
cvd,Q63805151,cvd risk factor knowledge across age groups,0.0,13.0,0.0,False,0,0.0,0.0,6.7,Q30612,,1,0,17.6
cvd,Q66061699,cvd risk and health in postmenopausal phytoestrogen users,0.0,10.0,0.0,False,0,0.0,0.0,5.4,Q30612,,1,0,17.6
cvd,Q97615288,cvd techniques for the synthesis or modification of porous ceramics,0.0,8.6,0.0,False,0,0.0,0.0,4.9,Q187685,,1,0,19.7
cvd,Q130882675,cardiovascular diseases research institute,0.0,75.0,0.0,False,0,0.0,0.0,31.5,Q13226383,,1,0,19.2
cvd,Q126392607,cvd coated cutting tool,0.0,23.1,0.0,False,0,0.0,0.0,10.6,Q43305660,,1,0,16.2
cvd,Q126392874,cvd coated cutting tool,0.0,23.1,0.0,False,0,0.0,0.0,10.6,Q43305660,,1,0,16.2
cvd,Q66036763,cvd risk factors and sexual identity in women,0.0,12.5,0.0,False,0,0.0,0.0,6.4,Q30612,,1,0,17.6
cvd,Q106641023,cvd-0013943,0.8,42.9,2.0,False,0,0.0,0.0,26.3,Q113145171,,1,0,25.5
cvd,Q105699400,computer vision meets databases,0.0,85.7,0.0,False,0,0.0,0.0,35.9,Q47258130,,1,0,21.6
cvd,Q66060160,cvd nutrition modules tailored to low literacy skills,0.0,10.7,0.0,False,0,0.0,0.0,5.7,Q30612,,1,0,17.6
cvd,Q559486,cycle de développement,0.0,85.7,12.6,False,0,0.0,0.0,72.0,,,0,0,0.0
cvd,Q188722,cqfd,0.0,100.0,12.4,True,0.0,0.0,1.0,117.5,Q187931;Q3062294,,2,0,19.3
cvd,Q105427364,king's commissioner of drenthe,0.0,31.6,2.0,False,0,0.0,0.0,20.3,Q4164871,,1,0,24.7
cvd,Q2610633,commissariaat voor de media,0.0,85.7,3.5,False,0,0.0,0.0,46.5,Q32798322,,1,0,24.7
cvd,Q27516596,king's commissioner of north holland,0.0,24.0,2.0,False,0,0.0,0.0,17.2,Q4164871,,1,0,24.7
cvd,Q28530179,king's commissioner of gelderland,0.0,27.3,2.0,False,0,0.0,0.0,18.6,Q4164871,,1,0,24.7
cvd,Q28801911,king's commissioner of limburg,0.0,31.6,2.0,False,0,0.0,0.0,20.3,Q4164871,,1,0,24.7
cvd,Q105427365,king's commissioner of overijssel,0.0,27.3,2.0,False,0,0.0,0.0,18.6,Q4164871,,1,0,24.7
cvd,Q27531658,king's commissioner of south holland,0.0,25.0,2.0,False,0,0.0,0.0,17.6,Q4164871,,1,0,24.7
cvd,Q105427369,king's commissioner of north brabant,0.0,24.0,2.0,False,0,0.0,0.0,17.2,Q4164871,,1,0,24.7
cvd,Q27650822,king's commissioner of utrecht,0.0,31.6,2.0,False,0,0.0,0.0,20.3,Q4164871,,1,0,24.7
cvd,Q110599030,cimetière de vieux doulon,0.0,85.7,0.0,False,0,0.0,0.0,35.9,Q548662,,1,0,23.2
cvd,Q105427368,king's commissioner of zeeland,0.0,31.6,2.0,False,0,0.0,0.0,20.3,Q4164871,,1,0,24.7
cvd,Q105427363,king's commissioner of friesland,0.0,28.6,2.0,False,0,0.0,0.0,19.1,Q4164871,,1,0,24.7
cvd,Q105427362,commissaire du roi à groningue,0.0,28.6,2.0,False,0,0.0,0.0,19.1,Q4164871,,1,0,24.7
cvd,Q105427367,commissaire du roi au flevoland,0.0,28.6,2.0,False,0,0.0,0.0,19.1,Q4164871,,1,0,24.7
cvd,Q1068846,cheerleadervereinigung deutschland,0.0,100.0,2.2,True,0.0,0.0,1.0,96.3,Q2485448,,1,0,20.4
cvd,Q104970676,cvdqdossutxmst-cywwhkobsa-n,0.0,20.0,2.0,False,0,0.0,0.0,15.6,Q113145171,,1,0,25.5
cvd,Q104970674,cvdbemjtpgtiid-jfvxfanosa-n,0.8,20.0,2.0,False,0,0.0,0.0,17.1,Q59199015,,1,0,24.1
cvd,Q104970678,cvdqdossutxmst-uhfffaoysa-n,0.8,20.0,2.0,False,0,0.0,0.0,17.1,Q59199015,,1,0,24.1
cvd,Q104970677,cvdqdossutxmst-nhzfslkxsa-n,0.0,20.0,2.0,False,0,0.0,0.0,15.6,Q113145171,,1,0,25.5
design of experiments,Q2334061,design of experiments,1.5,100.0,13.0,False,0,1.0,0.0,85.9,Q1047113;Q1799072,,2,0,30.2
design of experiments,Q123751201,design of experiments for reliability achievement,1.5,60.0,0.0,False,0,0.0,0.0,28.8,Q3331189,,1,0,29.2
corrosion,Q137056,corrosion,1.8,100.0,16.2,False,0,1.0,0.0,94.7,Q3382117,,1,0,23.0
corrosion,Q111366900,corrosion inhibition,3.6,62.1,4.2,False,0,0.0,0.0,46.7,Q268592,,1,0,37.0
corrosion,Q51843949,ghs05: corrosion,3.6,100.0,0.1,True,0.0,0.0,1.0,99.0,Q19360817,,1,0,21.4
corrosion,Q1135391,corrosion of conformity,1.8,56.2,9.8,False,0,0.0,0.0,57.1,Q215380,,1,0,27.3
corrosion,Q56737144,corrosion,1.8,100.0,0.0,False,0,1.0,0.0,46.1,Q12640000,,1,0,18.7
corrosion,Q2468815,corrosion inhibitor,1.8,64.3,11.9,False,0,0.0,0.0,66.8,Q100434640,,1,0,30.6
corrosion,Q1550776,korroziya metalla,1.8,66.7,7.1,False,0,0.0,0.0,53.1,Q215380,,1,0,27.3
corrosion,Q55830125,corrosion resistance,1.8,62.1,0.0,False,0,0.0,0.0,30.3,Q764285,,1,0,32.3
corrosion,Q5173034,corrosion fatigue,1.8,69.2,9.4,False,0,0.0,0.0,61.3,Q1925224,,1,0,33.9
corrosion,Q13405532,anti-corrosion treatment,3.6,69.2,8.2,False,0,0.0,0.0,59.7,,,0,0,0.0
corrosion,Q3511129,corrosion engineering,1.8,60.0,6.2,False,0,0.0,0.0,48.0,Q11862829,,1,0,26.2
corrosion,Q1469751,corrosion protection medium,5.5,50.0,2.0,False,0,0.0,0.0,38.8,Q16829513,,1,0,35.3
