kw,qid,label,mode,exact_label,exact_alias,ctx,sl_log1p,p31_cnt,p279_cnt,ctx_p31,ctx_p279,alias_inv,w_ctx,w_sl,w_p31,w_p279,w_ctx_p31,w_ctx_p279,w_alias_inv,bonus_label,bonus_alias,total
road closures,Q110997968,road closure,label,1,0,5.1,0.69,0.0,6.0,0.0,44.2,0.667,3.0,4.0,2.0,1.5,2.2,2.0,4.0,20.0,0.0,50.71
southern africa,Q27394,Southern Africa,label,1,0,3.8,4.92,2.0,0.0,43.3,0.0,0.667,3.0,4.0,2.0,1.5,2.2,2.0,4.0,20.0,0.0,58.84
southern africa,Q816706,Southern African Development Community,none,0,0,3.8,3.91,1.0,0.0,37.3,0.0,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.41
southern africa,Q1156228,South African English,none,0,0,7.7,3.22,1.0,3.0,26.3,38.3,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,16.01
southern africa,Q833639,Southern African Large Telescope,none,0,0,5.1,3.22,1.0,0.0,25.5,0.0,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,10.32
southern africa,Q1770872,Southern African Vlei Rat,none,0,0,3.8,3.09,1.0,0.0,36.1,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.32
southern africa,Q98528232,music of Southern Africa,none,0,0,5.1,0.0,2.0,2.0,41.3,38.1,0.4,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,10.87
southern africa,Q1344350,Southern African Customs Union,none,0,0,9.0,3.22,1.0,0.0,30.0,0.0,0.333,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,14.48
southern africa,Q7569570,Southern Africa Association for the Advancement of Science,none,0,0,7.7,0.69,1.0,0.0,33.2,0.0,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,12.21
southern africa,Q304057,Southern African Spiny Mouse,none,0,0,3.8,3.09,1.0,0.0,36.1,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.32
southern africa,Q98528210,Southern African folk music,none,0,0,3.8,0.0,1.0,4.0,37.9,47.8,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,10.58
southern africa,Q1416175,Southern African hedgehog,none,0,0,3.8,3.43,1.0,0.0,36.1,0.0,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.16
southern africa,Q311680,Chlamydoselachus africana,none,0,0,3.8,3.18,1.0,0.0,36.1,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.37
southern africa,Q2063213,Python natalensis,none,0,0,2.6,2.94,1.0,0.0,36.1,0.0,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.38
southern africa,Q7388652,Southern African Foundation for the Conservation of Coastal Birds,none,0,0,5.1,2.08,3.0,0.0,42.5,0.0,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,11.52
southern africa,Q4335258,Southern African Development Community intervention in Lesotho,none,0,0,6.4,2.4,1.0,0.0,28.8,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,11.98
southern africa,Q989740,Southern African anchovy,none,0,0,3.8,2.77,1.0,0.0,36.1,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.16
southern africa,Q61931923,Southern Africa Nazarene University,none,0,0,3.8,0.0,2.0,0.0,38.5,0.0,0.333,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.6
southern africa,Q7569576,Southern African Catholic Bishops Conference,none,0,0,10.3,1.61,1.0,0.0,36.2,0.0,0.333,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,15.27
southern africa,Q7388434,SABAP2,none,0,0,2.6,1.39,1.0,0.0,34.6,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.92
southern africa,Q2304660,Southern African Clothing and Textile Workers Union,none,0,0,7.7,1.1,1.0,0.0,40.3,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,13.98
southern africa,Q41568324,Southern African Institute of Mining and Metallurgy,none,0,0,10.3,1.1,1.0,0.0,34.2,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,16.0
southern africa,Q7569577,Southern African Bird Atlas Project,none,0,0,2.6,0.69,1.0,0.0,34.6,0.0,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.07
southern africa,Q1971516,Sunshine Tour,none,0,0,2.6,2.2,1.0,0.0,22.6,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.2
southern africa,Q7569582,Southern african power pool,none,0,0,2.6,1.39,1.0,0.0,18.1,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.75
southern africa,Q7569573,Southern Africa Direct,none,0,0,5.1,0.69,1.0,0.0,37.5,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,10.68
southern africa,Q4915830,BirdLife South Africa,none,0,0,7.7,1.39,1.0,0.0,39.5,0.0,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,12.62
johannesburg,Q34647,Johannesburg,label,1,0,5.1,5.22,6.0,0.0,49.5,0.0,0.143,3.0,4.0,2.0,1.5,2.2,2.0,4.0,20.0,0.0,69.93
johannesburg,Q2346838,City of Johannesburg Metropolitan Municipality,none,0,0,6.4,2.48,1.0,0.0,32.9,0.0,0.182,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,10.61
johannesburg,Q217426,Soweto,none,0,0,5.1,4.06,2.0,0.0,37.8,0.0,0.286,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,11.02
johannesburg,Q2564753,Union Observatory,none,0,0,1.3,3.04,1.0,0.0,25.5,0.0,0.4,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.32
johannesburg,Q821750,OR Tambo International Airport,none,0,0,3.8,3.83,2.0,0.0,35.1,0.0,0.143,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.91
