kw,qid,label,mode,exact_label,exact_alias,ctx,sl_log1p,p31_cnt,p279_cnt,ctx_p31,ctx_p279,alias_inv,w_ctx,w_sl,w_p31,w_p279,w_ctx_p31,w_ctx_p279,w_alias_inv,bonus_label,bonus_alias,total
rock glacier,Q884736,rock glacier,label,1,0,1.4,2.77,0.0,5.0,0.0,33.0,0.333,3.0,4.0,2.0,1.5,2.2,2.0,4.0,20.0,0.0,44.91
rock glacier,Q31484210,Rock Glacier,label,1,0,1.0,0.69,1.0,0.0,37.7,0.0,1.0,3.0,4.0,2.0,1.5,2.2,2.0,4.0,20.0,0.0,32.49
rock glacier,Q115111391,Rock glacier destabilization in the French Alps : insights from regional and local scale assessments,none,0,0,0.5,0.0,1.0,0.0,22.5,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.6
pleistocene,Q25546,Pleistocene,label,1,0,0.0,4.55,2.0,0.0,27.5,0.0,0.333,3.0,4.0,2.0,1.5,2.2,2.0,4.0,20.0,0.0,44.15
pleistocene,Q1759232,Quaternary extinction event,none,0,0,0.0,3.22,1.0,0.0,20.7,0.0,0.286,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.47
pleistocene,Q1040770,Quaternary glaciation,none,0,0,0.0,3.22,1.0,0.0,25.4,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.66
pleistocene,Q1632825,Pleistocene rewilding,none,0,0,0.0,2.48,1.0,3.0,15.6,40.4,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.32
pleistocene,Q106770863,"Pleistocene Epoch, New York",none,0,0,0.5,0.0,1.0,0.0,19.5,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.57
pleistocene,Q2099296,Pleistocene Park,none,0,0,0.0,3.04,2.0,0.0,16.5,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.29
pleistocene,Q1237403,Pleistocene megafauna,none,0,0,0.0,2.83,0.0,2.0,0.0,27.8,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.84
pleistocene,Q106768037,Pleistocene Edentates of Patagoni,none,0,0,0.0,0.0,1.0,0.0,19.5,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.99
pleistocene,Q106774771,"Pleistocene Epoch, Austria",none,0,0,0.5,0.0,1.0,0.0,19.5,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.57
pleistocene,Q4754,Discus macclintocki,none,0,0,0.0,2.08,1.0,0.0,21.6,0.0,0.4,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.26
pleistocene,Q106768380,Pleistocene Fauna of Asia,none,0,0,0.0,0.0,1.0,0.0,19.5,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.99
pleistocene,Q106773779,"Pleistocene Epoch, Ireland",none,0,0,0.5,0.0,1.0,0.0,19.5,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.57
