kw,qid,label,mode,exact_label,exact_alias,ctx,sl_log1p,p31_cnt,p279_cnt,ctx_p31,ctx_p279,alias_inv,w_ctx,w_sl,w_p31,w_p279,w_ctx_p31,w_ctx_p279,w_alias_inv,bonus_label,bonus_alias,total
computer game,Q7889,video game,alias,0,1,2.0,5.07,2.0,14.0,45.3,26.4,0.222,3.0,4.0,1.6,1.0,1.8,1.5,8.0,0.0,15.0,61.46
computer game,Q4485157,PC game,alias,0,1,4.0,3.93,0.0,11.0,0.0,31.9,0.5,3.0,4.0,1.6,1.0,1.8,1.5,8.0,0.0,15.0,58.21
computer game,Q659563,video game genre,none,0,0,6.0,3.71,1.0,4.0,39.7,46.5,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,13.69
computer game,Q1224999,educational video game,none,0,0,4.0,2.94,1.0,14.0,36.0,27.3,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,16.72
computer game,Q1062702,video game music,none,0,0,4.0,3.3,1.0,2.0,47.1,45.7,0.167,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.78
computer game,Q18882335,video game designer,none,0,0,10.0,1.1,2.0,5.0,44.6,46.0,0.25,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,18.71
computer game,Q18328126,video game award,none,0,0,4.0,0.69,1.0,6.0,37.2,41.2,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,12.25
computer game,Q96240590,video game bundle,none,0,0,8.0,0.0,0.0,9.0,0.0,33.7,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,17.27
computer game,Q7927908,video game accessory,none,0,0,4.0,1.61,0.0,5.0,0.0,40.0,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.59
computer game,Q77080538,video game term,none,0,0,6.0,0.0,0.0,3.0,0.0,46.9,0.4,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,10.58
computer game,Q50572288,speculative fiction video game,none,0,0,6.0,0.0,2.0,8.0,49.0,30.2,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,15.0
computer game,Q5157439,Computer Games,none,0,0,2.0,1.1,1.0,0.0,37.3,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.12
computer game,Q106460805,"Computer Games and Digital Cultures Conference, June 6-8, 2002, Tampere, Finland",none,0,0,2.0,0.0,1.0,0.0,47.3,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.67
computer game,Q106244257,"Computer Games: AI, Animation, Mobile, Multimedia, Educational and Serious Games , CGAMES 2015, Louisville, KY, USA, July 27-29, 2015",none,0,0,2.0,0.0,1.0,0.0,47.3,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.67
computer game,Q64597818,Computer Games to Prevent Mild Cognitive Impairment and Dementia,none,0,0,4.0,0.0,1.0,0.0,42.0,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.02
computer game,Q106903293,Computer games and learning: a Futurelab handbook,none,0,0,6.0,0.0,1.0,0.0,42.2,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,11.42
computer game,Q113926088,Computer Game-based Exercise Program Targeting Manual Dexterity for People With Spinal Cord Injury or Stroke.,none,0,0,2.0,0.0,1.0,0.0,42.0,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.62
computer game,Q126392228,game asset,none,0,0,4.0,0.0,0.0,6.0,0.0,41.3,0.286,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.59
computer game,Q123307305,Computer Games,none,0,0,2.0,0.0,1.0,0.0,40.5,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.61
computer game,Q1154933,Game Developers Conference,none,0,0,2.0,3.18,1.0,4.0,34.7,44.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.89
blind,Q10874,blindness,none,0,0,2.0,4.85,2.0,11.0,45.5,38.8,0.333,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,14.79
blind,Q12731,dead end street,none,0,0,0.0,3.71,2.0,5.0,41.3,42.3,0.2,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.81
blind,Q392,Bob Dylan,none,0,0,0.0,5.21,1.0,0.0,44.3,0.0,0.118,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.2
blind,Q895871,cortical blindness,none,0,0,0.0,2.4,1.0,4.0,45.6,44.3,0.4,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.41
blind,Q2244608,bird hide,alias,0,1,2.0,2.71,0.0,9.0,0.0,34.7,0.4,3.0,4.0,1.6,1.0,1.8,1.5,8.0,0.0,15.0,44.55
blind,Q8193177,blind person,none,0,0,4.0,2.2,0.0,2.0,0.0,46.7,0.2,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.07
blind,Q272031,Jack White,none,0,0,0.0,3.89,1.0,0.0,44.3,0.0,0.154,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.65
blind,Q183660,Anguis fragilis,none,0,0,2.0,4.33,1.0,0.0,42.3,0.0,0.182,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.33
blind,Q22109237,Richard A. B. Leschen,none,0,0,4.0,0.69,1.0,0.0,44.3,0.0,0.143,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.82
blind,Q19858482,Blindspot,none,0,0,0.0,3.56,1.0,0.0,42.0,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.0
blind,Q28936014,school for the blind,none,0,0,6.0,1.39,0.0,5.0,0.0,43.1,0.4,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,12.44
