kw,qid,label,mode,exact_label,exact_alias,ctx,sl_log1p,p31_cnt,p279_cnt,ctx_p31,ctx_p279,alias_inv,w_ctx,w_sl,w_p31,w_p279,w_ctx_p31,w_ctx_p279,w_alias_inv,bonus_label,bonus_alias,total
france,Q142,France,label,1,0,1.6,5.99,5.0,0.0,43.4,0.0,0.2,3.0,4.0,2.0,1.5,2.2,2.0,4.0,20.0,0.0,60.66
france,Q47774,France men's national association football team,none,0,0,0.5,4.65,1.0,3.0,16.1,23.7,0.182,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.48
france,Q3591845,French State,alias,0,1,2.7,0.69,1.0,0.0,21.6,0.0,0.167,3.0,4.0,1.6,1.0,1.8,1.5,8.0,0.0,15.0,29.34
france,Q23817729,no age restriction,none,0,0,2.2,0.0,1.0,0.0,28.4,0.0,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.22
france,Q2268455,Francesco,none,0,0,0.0,2.71,1.0,0.0,20.9,0.0,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.86
france,Q19675,Louvre Museum,none,0,0,1.6,5.11,5.0,0.0,43.9,0.0,0.143,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.4
france,Q1440778,Frances,none,0,0,0.0,2.2,1.0,0.0,16.3,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.06
france,Q5432,Francisco Goya,none,0,0,0.5,5.18,1.0,0.0,26.4,0.0,0.036,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.42
france,Q676555,Francis of Assisi,none,0,0,2.2,4.93,1.0,0.0,26.4,0.0,0.154,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,6.63
france,Q2695945,Francesca,none,0,0,0.0,2.3,1.0,0.0,16.3,0.0,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.61
france,Q5478259,France,label,1,0,1.6,1.79,1.0,0.0,23.8,0.0,1.0,3.0,4.0,2.0,1.5,2.2,2.0,4.0,20.0,0.0,38.64
france,Q1401,Petrarch,none,0,0,0.5,5.08,1.0,0.0,26.4,0.0,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.93
france,Q167654,Frans Hals,none,0,0,0.0,4.23,1.0,0.0,26.4,0.0,0.021,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.24
france,Q101730,1998 FIFA World Cup,none,0,0,1.1,4.49,1.0,0.0,19.9,0.0,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.23
france,Q2946,Palace of Versailles,none,0,0,2.7,4.66,5.0,0.0,45.2,0.0,0.154,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,10.54
france,Q217406,French Navy,none,0,0,2.2,3.85,1.0,0.0,22.2,0.0,0.133,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.98
france,Q3080569,France,label,1,0,0.5,1.39,3.0,0.0,33.3,0.0,0.5,3.0,4.0,2.0,1.5,2.2,2.0,4.0,20.0,0.0,35.93
france,Q121842,French,none,0,0,1.6,4.71,2.0,4.0,29.3,37.9,0.154,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,9.39
france,Q2605625,Francesc,none,0,0,0.0,2.2,1.0,0.0,20.9,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,5.11
france,Q518116,France national rugby union team,none,0,0,0.5,3.61,1.0,0.0,19.9,0.0,0.222,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.13
france,Q237131,France in the Middle Ages,none,0,0,2.2,3.22,1.0,0.0,19.3,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,8.24
france,Q525894,France 2,none,0,0,1.6,3.83,1.0,0.0,20.7,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,7.9
france,Q209615,Francisco de Zurbarán,none,0,0,0.5,4.41,1.0,0.0,26.4,0.0,0.051,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.08
france,Q41309,Franz Liszt,none,0,0,0.5,4.81,1.0,0.0,26.4,0.0,0.087,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.39
france,Q96691244,Francesco Fabozzi,none,0,0,0.0,0.0,1.0,0.0,26.4,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.06
france,Q94246577,Francesco Crescioli,none,0,0,0.0,0.0,1.0,0.0,26.4,0.0,0.5,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,2.56
france,Q23817740,no minors under twelve,none,0,0,2.2,0.0,1.0,0.0,28.4,0.0,0.286,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.58
france,Q88771809,Francesco Ragusa,none,0,0,0.0,0.0,1.0,0.0,26.4,0.0,0.667,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.06
france,Q67191520,Francesco Montorsi,none,0,0,0.0,0.69,1.0,0.0,26.4,0.0,1.0,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,4.41
france,Q90413867,Francesco Safai Tehrani,none,0,0,0.0,0.0,1.0,0.0,26.4,0.0,0.333,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,2.06
france,Q318769,Francesco Guardi,none,0,0,0.0,3.74,1.0,0.0,26.4,0.0,0.044,1.2,0.5,0.8,0.6,1.0,0.8,3.0,0.0,0.0,3.06
