kw,qid,label,mode,exact_label,exact_alias,ctx,sl_log1p,p31_cnt,p279_cnt,ctx_p31,ctx_p279,alias_inv,y
convective instability,Q3268911,Convective instability,label,1,0,0.7,2.08,0,1,0,15.1,1,1
CVD,Q389735,cardiovascular disease,alias,0,1,1.4,4.3,2,2,32.1,33.8,0.154,0
CVD,Q505668,Chemical vapor deposition,alias,0,1,4.8,3.47,0,1,0,53.6,0.333,1
CVD,Q17928815,FLNA,none,0,0,0,1.95,1,1,12.8,10,0.105,0
CVD,Q5692507,Heart valve dysplasia,none,0,0,0,1.79,2,1,28.9,11.9,0.222,0
CVD,Q18030587,PLD1,none,0,0,0,1.39,1,1,12.8,10,0.5,0
CVD,Q102459691,Cardiovascular Digital Health Journal,none,0,0,0,0,1,0,23.3,0,0.667,0
CVD,Q55118269,Cardiovascular Disease Ontology,none,0,0,0,0,1,0,20.4,0,0.667,0
CVD,Q100262880,Clean Vehicles Directive,alias,0,1,0.7,0.69,1,0,14.8,0,0.5,0
CVD,Q122960264,cardiac valvular dysplasia 2,none,0,0,0,0,0,0,0,0,0.667,0
CVD,Q130882675,Cardiovascular Diseases Research Institute,none,0,0,0,0,1,0,22,0,0.667,0
CVD,Q106641023,CVD-0013943,none,0,0,0.7,0,1,1,19.1,25.2,0.667,0
CVD,Q105699400,Computer Vision meets Databases,none,0,0,0,0,1,0,22.5,0,0.667,0
CVD,Q559486,cycle de développement,none,0,0,0,3.3,0,1,0,29,0.333,0
CVD,Q188722,CQFD,none,0,0,0,3.85,2,0,21.3,0,0.4,0
CVD,Q110599030,Cimetière de Vieux Doulon,none,0,0,0.7,0,1,0,25.2,0,0.667,0
CVD,Q1068846,Cheerleadervereinigung Deutschland,none,0,0,0,0.69,1,0,23.3,0,1,0
CVD,Q104970676,CVDQDOSSUTXMST-CYWWHKOBSA-N,none,0,0,0,0,1,1,19.1,22.2,1,0
CVD,Q104970674,CVDBEMJTPGTIID-JFVXFANOSA-N,none,0,0,0.7,0,1,2,26,19,1,0
CVD,Q104970678,CVDQDOSSUTXMST-UHFFFAOYSA-N,none,0,0,0.7,0,1,1,26,25,1,0
CVD,Q104970677,CVDQDOSSUTXMST-NHZFSLKXSA-N,none,0,0,0,0,1,1,19.1,22.2,1,0
design of experiments,Q2334061,design of experiments,label,1,0,1.4,3.43,2,1,34,25.8,0.4,1
corrosion,Q137056,corrosion,label,1,0,1.6,4.41,1,2,25.3,43.9,0.25,1
corrosion,Q111366900,corrosion inhibition,none,0,0,3.2,0.69,1,3,39.6,48,0.5,0
corrosion,Q51843949,GHS05: corrosion,alias,0,1,3.2,0,1,0,24.1,0,0.25,0
corrosion,Q56737144,Corrosion,label,1,0,1.6,0,1,0,22.8,0,1,0
corrosion,Q2468815,corrosion inhibitor,none,0,0,1.6,3.09,1,5,31.4,46.7,1,0
corrosion,Q55830125,corrosion resistance,none,0,0,1.6,0,1,0,34.8,0,0.5,0
corrosion,Q5173034,corrosion fatigue,none,0,0,1.6,2.3,1,2,32.6,43.1,0.667,0
corrosion,Q13405532,anti-corrosion treatment,none,0,0,3.2,1.95,0,2,0,40.6,0.5,0
corrosion,Q3511129,corrosion engineering,none,0,0,1.6,1.95,1,0,28.5,0,1,0
corrosion,Q1469751,Corrosion protection medium,none,0,0,4.8,0,1,1,34.7,33.3,1,0
corrosion,Q113131132,corrosion engineer,none,0,0,1.6,0,2,1,40.2,19.5,1,0
corrosion,Q101149215,Corrosion of Conformity's albums in chronological order,none,0,0,1.6,0,1,0,20.7,0,0.5,0
corrosion,Q65929600,corrosion test,none,0,0,1.6,0.69,1,1,39.5,27.7,1,0
corrosion,Q101149183,Corrosion of Conformity discography,none,0,0,1.6,0,1,0,31.8,0,0.5,0
corrosion,Q26377383,Corrosion of Commercial Alloys in a Chlorine-sulfur Atmosphere At High Temperatures,none,0,0,3.2,0,1,0,26.3,0,1,0
corrosion,Q26369592,Corrosion in geothermal brines of the Salton Sea known geothermal resource area,none,0,0,1.6,0,1,0,28.3,0,1,0
corrosion,Q11743785,corrosion of metals,none,0,0,1.6,1.1,0,1,0,36.1,1,0
corrosion,Q5173035,Corrosion societies,none,0,0,1.6,0.69,0,0,0,0,1,0
corrosion,Q16919268,corrosion under insulation,none,0,0,1.6,0.69,0,1,0,36.1,0.667,0
corrosion,Q123280995,Corrosion inhibitors for the petroleum industry,none,0,0,1.6,0.69,0,0,0,0,1,0
corrosion,Q123293279,Corrosion inhibitors for petroleum industry,none,0,0,1.6,0.69,0,0,0,0,1,0
corrosion,Q5173030,Corrosion in space,none,0,0,1.6,0.69,0,1,0,36.1,1,0
corrosion,Q5173033,Corrosion loop,none,0,0,1.6,0.69,0,0,0,0,1,0
corrosion,Q585977,corrosion sous contrainte,none,0,0,1.6,2.77,0,1,0,36.1,0.667,0
corrosion,Q600055,corrosion intergranulaire,none,0,0,1.6,2.56,0,0,0,0,1,0
corrosion,Q1759493,corrosion caverneuse,none,0,0,3.2,2.48,0,0,0,0,1,0
corrosion,Q1493450,Corrosion à haute température,none,0,0,1.6,2.2,0,1,0,36.1,0.333,0
corrosion,Q1272537,Corrosion des aciers dans le béton,none,0,0,3.2,2.3,1,0,29.3,0,1,0
corrosion,Q2997981,Corrosion aqueuse,none,0,0,1.6,0.69,0,0,0,0,0.667,0
corrosion,Q2367906,galvanic corrosion,none,0,0,1.6,3.14,0,1,0,60,1,0
corrosion,Q351261,eau d'alimentation de chaudière,none,0,0,0,2.4,0,1,0,42.2,1,0
corrosion,Q1417876,glass disease,none,0,0,0,2.4,0,1,0,30.6,0.4,0
TEM,Q29023906,temporary exhibition,none,0,0,0,1.39,0,2,0,41.8,0.286,0
TEM,Q616667,temporal lobe epilepsy,none,0,0,0,2.94,2,1,40.6,39.3,0.667,0
TEM,Q19887878,Wikimedia infobox template,none,0,0,0,0,0,2,0,42.5,0.4,0
TEM,Q877647,European route E80,alias,0,1,0,3.64,1,0,33.6,0,0.2,0
TEM,Q17911655,CYLD,alias,0,1,0,1.39,1,1,22.8,20.5,0.154,0
TEM,Q744818,transmission electron microscope,alias,0,1,0,3.4,0,1,0,36.2,0.667,1
TEM,Q5626735,Template:Infobox,none,0,0,0,5.85,1,0,24.7,0,1,0
TEM,Q36531,Tem,none,0,0,0,3,2,1,41.8,22,0.333,0
TEM,Q111329181,Temporal artery biopsy,none,0,0,0,0,1,0,15.8,0,0.667,0
TEM,Q21113782,tetraspanin-enriched microdomain,alias,0,1,1.6,0,1,1,25.9,20.3,0.4,0
TEM,Q1756116,Temnora,none,0,0,0,2.48,1,0,35.2,0,1,0
TEM,Q492419,FCR 2001 Duisburg,none,0,0,0,3,1,0,16.8,0,0.25,0
TEM,Q7698689,Temple University Beasley School of Law,none,0,0,0,1.61,1,0,21.4,0,0.5,0
TEM,Q110779037,transmission electron microscopy,alias,0,1,0,2.4,0,1,0,15.2,0.667,0
TEM,Q43018,Temple of Ephesian Artemis,none,0,0,0,4.53,5,0,45.1,0,0.4,0
TEM,Q6919004,Template:Merge,none,0,0,0,5.49,1,0,36.6,0,1,0
TEM,Q603255,Percichthyidae,none,0,0,0,3.4,1,0,35.2,0,0.667,0
TEM,Q739827,Tém,none,0,0,0,2.3,1,0,40.2,0,0.286,0
TEM,Q1053973,temptation,none,0,0,0,3.76,0,1,0,27.5,1,0
