keyword,qid,label,exact_label,ctx_lab,sl_lab,p31_lab,p279_lab,exact_alias,ctx_ali,sl_ali,p31_ali,p279_ali,total_pure_score,__sitelinks,p31_cnt,has_p279
Mixed convection,Q97612642,Mixed-Convection Instabilities in Chemical Vapor Deposition Reactors,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q104206976,Mixed convection and density-dependent seawater circulation in coastal aquifers,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q58905991,Mixed Convection Flow along a Stretching Cylinder in a Thermally Stratified Medium,0,3.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q35048113,Mixed Convection Peristaltic Flow of Third Order Nanofluid with an Induced Magnetic Field,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q34663958,Mixed Convection Boundary Layer Flow over a Moving Vertical Flat Plate in an External Fluid Flow with Viscous Dissipation Effect,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q35578306,Mixed convection flow of viscoelastic fluid by a stretching cylinder with heat transfer,0,5.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q35004731,Mixed convection flow of nanofluid in presence of an inclined magnetic field,0,4.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q59023499,Mixed Convection Boundary Layers with Prescribed Temperature in the Unsteady Stagnation Point Flow toward a Stretching Vertical Sheet,0,5.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q59513185,Mixed convection flow of Casson fluid over a stretching sheet with convective boundary conditions and Hall effect,0,5.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q58405986,Mixed convection in radial flow between horizontal plates—II. Experiments,0,3.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q56925034,Mixed Convection Boundary-Layer Flow on a Vertical Surface in a Porous Medium with a Constant Convective Boundary Condition,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q58405975,Mixed convection in radial flow between horizontal plates — I. Numerical simulations,0,4.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q56927309,Mixed Convection Three-Dimensional Flow in the Presence of Hall and Ion-Slip Effects,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q58653253,Mixed Convection Boundary Layer Flow over a Permeable Vertical Flat Plate Embedded in an Anisotropic Porous Medium,0,3.6,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q47984612,Mixed convection peristaltic flow of Eyring-Powell nanofluid in a curved channel with compliant walls,0,6.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q57932814,Mixed convection of non-Newtonian fluids along a heated vertical flat plate,0,2.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q127371769,Mixed Convection Flow of Viscous Reactive Fluids with Thermal Diffusion and Radial Magnetic Field in a Vertical Porous Annulus,0,5.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q56966873,Mixed convection heat transfer at high Grashof number in a vertical tube,0,5.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q115234973,MIXED CONVECTION NANOFLUID FLOW OVER A VERTICAL WEDGE SATURATED IN A POROUS MEDIUM WITH INFLUENCE OF DOUBLE DISPERSION USING LIE GROUP SCALING,0,4.2,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q126400110,Mixed convection heat and mass transfer in rectangular ducts rotating about a parallel axis,0,5.4,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
Mixed convection,Q59109675,Mixed Convection Flow of Magnetic Viscoelastic Polymer from a Nonisothermal Wedge with Biot Number Effects,0,4.8,0.0,1.0,0,0,0.0,0.0,1.0,0,0.0,0,1.0,0
