docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,lineage_path,retry_source,match_stage,is_disambiguation,label_similarity,match_score
1002652,Urban stormwater source control policies: why and how?,Stormwater management,,,,,,none,no,0,0
1002652,Urban stormwater source control policies: why and how?,Urban areas,Urban Areas,Q58259934,,Urban Areas > scholarly article > scientific publication > publication,exact_label,exact_label,no,100,50
1002652,Urban stormwater source control policies: why and how?,Source control,,,,,,none,yes,0,0
1002652,Urban stormwater source control policies: why and how?,Policy-making,Policy making,Q72418283,,Policy making > scholarly article > scientific publication > publication,context,context,no,92.3,57.4
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Mixed convection,,,,,,none,no,0,0
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Poiseuille-Rayleigh-Bénard flow,,,,,,none,no,0,0
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Convective instability,Convective instability,Q3268911,,Convective instability,context,context,no,100,111
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Rectangular channel,,,,,,none,no,0,0
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Harmonic inlet excitation,,,,,,none,no,0,0
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,CVD,,,,,,none,no,0,0
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,3D numerical simulations,,,,,,none,no,0,0
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Design of experiments,Design of experiments,Q18465858,,Design of experiments,context,context,no,100,113
1015505,The impact of recent reforms on the institutional governance of French universities,France,France,Q142,152383070,France > sovereign state > state > community,context,context,no,100,113
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,university > type of educational institution > type > class,context,context,no,90,108
1015505,The impact of recent reforms on the institutional governance of French universities,Governance,Governance,Q66311002,,Governance > album > release group > group,context,context,no,100,112
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Component mode synthesis,,,,,,none,no,0,0
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Dynamic substructuring,dynamic substructuring,Q25112238,,dynamic substructuring,context,context,no,95.5,107.3
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Flexible interface,,,,,,none,no,0,0
1015767,Clarification about component mode synthesis methods for substructures with physical flexible interfaces,Computational mechanics,computational mechanics,Q919765,,computational mechanics,context,context,no,95.7,113.4
1021415,A simple game generator for creating audio/tactile games,Tactile interface,,,,,,none,no,0,0
1021415,A simple game generator for creating audio/tactile games,Computer game,Computer Gamer,Q868626,,Computer Gamer > magazine > periodical > serial,context,context,no,88.9,54.3
1021415,A simple game generator for creating audio/tactile games,Game authoring tool,,,,,,none,no,0,0
1021415,A simple game generator for creating audio/tactile games,Blind,Blind,Q60328,,Blind > album > release group > group,context,context,no,100,111
1021415,A simple game generator for creating audio/tactile games,Visually disabled,,,,,,none,no,0,0
1023779,Symposium on Circulation of Security Models in Southern African Cities,Security governance,,,,,,none,no,0,0
1023779,Symposium on Circulation of Security Models in Southern African Cities,Neoliberalization,,,,,,none,no,0,0
