docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,lineage_path,retry_source,match_stage,is_disambiguation,label_similarity,match_score,p31_types,p31_label
1002652,Urban stormwater source control policies: why and how?,Stormwater management,,,,,,none,no,0.0,0.0,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,urban area,context_or_exact,context_or_exact,no,100.0,50.0,,
1002652,Urban stormwater source control policies: why and how?,Source control,source control,Q96406059,,source control,context_or_exact,context_or_exact,no,100.0,50.0,,
1002652,Urban stormwater source control policies: why and how?,Policy-making,,,,,,none,no,0.0,0.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Mixed convection,,,,,,none,no,0.0,0.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Poiseuille-Rayleigh-Bénard flow,,,,,,none,no,0.0,0.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Convective instability,Convective instability,Q3268911,,Convective instability,context_or_exact,context_or_exact,no,100.0,50.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Rectangular channel,,,,,,none,no,0.0,0.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Harmonic inlet excitation,,,,,,none,no,0.0,0.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,CVD,,,,,,none,no,0.0,0.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,3D numerical simulations,,,,,,none,no,0.0,0.0,,
1006198,Harmonic mechanical excitations of steady convective instabilities: a means to get more uniform heat transfers in mixed convection flows?,Design of experiments,design of experiments,Q2334061,11939604p,design of experiments > field of study > knowledge system > conceptual system,context_or_exact,context_or_exact,no,100.0,50.0,Q1047113;Q1799072,field of study;method
1015505,The impact of recent reforms on the institutional governance of French universities,France,France,Q142,152383070,France > sovereign state > state > community,context_or_exact,context_or_exact,no,100.0,50.0,Q20181813;Q3624078;Q51576574;Q6256;Q7270,country;Mediterranean country;sovereign state;republic;colonial power
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,university > type of educational institution > type > class,context_or_exact,context_or_exact,no,100.0,50.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,Governance,governance,Q1553864,,governance > type of regulation and control > type > class,context_or_exact,context_or_exact,no,100.0,80.0,Q11862829;Q1914636;Q96758092,activity;academic discipline;type of regulation and control
