docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,p279_path,retry_source,match_stage,is_disambiguation,label_similarity,match_score,p31_types,p31_label
1002652,Urban stormwater source control policies: why and how?,Stormwater management,,,,,none,none,no,0.0,0.0,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > populated place > region > geographical feature > geographic entity,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > populated place > region > geographical feature > concrete object,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > populated place > region > geographical feature > physical location,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > populated place > artificial geographic entity > geographic entity > geolocatable entity,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > populated place > artificial geographic entity > geographic entity > region of space,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > populated place > artificial geographic entity > artificial object > object,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of artificial physical objects > group of physical objects > group or class of physical objects,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of artificial physical objects > group of physical objects > group,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of geographic locations > group > set,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of works > group > set,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of works > work > artificial object,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > group of works > work > cultural artifact,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > architectural structure > artificial physical structure > physical structure,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > architectural structure > artificial physical structure > artificial physical object,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > architectural structure > artificial physical structure > technical system,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > architectural structure > fixed construction > geographical feature,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > architectural structure > fixed construction > artificial physical object,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > architectural structure > work > artificial object,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > architectural structure > work > cultural artifact,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Urban areas,urban area,Q702492,,human settlement > group of structures or buildings > architectural structure > E25 Human-Made Feature > artificial physical object,mode_score,mode_score,no,0.0,48.5,,
1002652,Urban stormwater source control policies: why and how?,Source control,version control,Q189439,,control > activity > process > occurrent > entity,mode_score,mode_score,no,0.0,47.2,,
1002652,Urban stormwater source control policies: why and how?,Source control,version control,Q189439,,control > activity > process > sequence > function,mode_score,mode_score,no,0.0,47.2,,
1002652,Urban stormwater source control policies: why and how?,Source control,version control,Q189439,,control > activity > process > sequence > class,mode_score,mode_score,no,0.0,47.2,,
1002652,Urban stormwater source control policies: why and how?,Source control,version control,Q189439,,control > aptitude > quality > property > abstract entity,mode_score,mode_score,no,0.0,47.2,,
1002652,Urban stormwater source control policies: why and how?,Source control,version control,Q189439,,changelog > logbook > notebook > volume > document,mode_score,mode_score,no,0.0,47.2,,
1002652,Urban stormwater source control policies: why and how?,Source control,version control,Q189439,,changelog > logbook > notebook > volume > artificial physical object,mode_score,mode_score,no,0.0,47.2,,
1002652,Urban stormwater source control policies: why and how?,Source control,version control,Q189439,,changelog > logbook > notebook > stationery > office supply,mode_score,mode_score,no,0.0,47.2,,
1002652,Urban stormwater source control policies: why and how?,Source control,version control,Q189439,,changelog > logbook > notebook > stationery > writing implement,mode_score,mode_score,no,0.0,47.2,,
1002652,Urban stormwater source control policies: why and how?,Source control,version control,Q189439,,changelog > logbook > document > information resource > source of information,mode_score,mode_score,no,0.0,47.2,,
1002652,Urban stormwater source control policies: why and how?,Source control,version control,Q189439,,changelog > logbook > document > information resource > resource,mode_score,mode_score,no,0.0,47.2,,
1002652,Urban stormwater source control policies: why and how?,Source control,version control,Q189439,,changelog > logbook > document > manifestation > artificial object,mode_score,mode_score,no,0.0,47.2,,
1002652,Urban stormwater source control policies: why and how?,Source control,version control,Q189439,,changelog > logbook > document > intellectual work > work,mode_score,mode_score,no,0.0,47.2,,
1002652,Urban stormwater source control policies: why and how?,Source control,version control,Q189439,,changelog > logbook > document > intellectual work > intellectual property,mode_score,mode_score,no,0.0,47.2,,
1002652,Urban stormwater source control policies: why and how?,Policy-making,policy making,Q3907287,,planning > process > occurrent > entity > entity,mode_score,mode_score,no,0.0,11.8,Q11827330;Q309100,political process;planning
1002652,Urban stormwater source control policies: why and how?,Policy-making,policy making,Q3907287,,planning > process > sequence > function > binary relation,mode_score,mode_score,no,0.0,11.8,Q11827330;Q309100,political process;planning
1002652,Urban stormwater source control policies: why and how?,Policy-making,policy making,Q3907287,,planning > process > sequence > function > partial function,mode_score,mode_score,no,0.0,11.8,Q11827330;Q309100,political process;planning
1002652,Urban stormwater source control policies: why and how?,Policy-making,policy making,Q3907287,,planning > process > sequence > function > multivalued function,mode_score,mode_score,no,0.0,11.8,Q11827330;Q309100,political process;planning
1002652,Urban stormwater source control policies: why and how?,Policy-making,policy making,Q3907287,,planning > process > sequence > function > generalized function,mode_score,mode_score,no,0.0,11.8,Q11827330;Q309100,political process;planning
1002652,Urban stormwater source control policies: why and how?,Policy-making,policy making,Q3907287,,planning > process > sequence > class > class,mode_score,mode_score,no,0.0,11.8,Q11827330;Q309100,political process;planning
1002652,Urban stormwater source control policies: why and how?,Policy-making,policy making,Q3907287,,planning > activity > process > occurrent > entity,mode_score,mode_score,no,0.0,11.8,Q11827330;Q309100,political process;planning
1002652,Urban stormwater source control policies: why and how?,Policy-making,policy making,Q3907287,,planning > activity > process > sequence > function,mode_score,mode_score,no,0.0,11.8,Q11827330;Q309100,political process;planning
1002652,Urban stormwater source control policies: why and how?,Policy-making,policy making,Q3907287,,planning > activity > process > sequence > class,mode_score,mode_score,no,0.0,11.8,Q11827330;Q309100,political process;planning
1002652,Urban stormwater source control policies: why and how?,Policy-making,policy making,Q3907287,,political process > social process > process > occurrent > entity,mode_score,mode_score,no,0.0,11.8,Q11827330;Q309100,political process;planning
1002652,Urban stormwater source control policies: why and how?,Policy-making,policy making,Q3907287,,political process > social process > process > sequence > function,mode_score,mode_score,no,0.0,11.8,Q11827330;Q309100,political process;planning
1002652,Urban stormwater source control policies: why and how?,Policy-making,policy making,Q3907287,,political process > social process > process > sequence > class,mode_score,mode_score,no,0.0,11.8,Q11827330;Q309100,political process;planning
1002652,Urban stormwater source control policies: why and how?,Policy-making,policy making,Q3907287,,political process > social process > phenomenon > occurrent > entity,mode_score,mode_score,no,0.0,11.8,Q11827330;Q309100,political process;planning
1002652,Urban stormwater source control policies: why and how?,Policy-making,policy making,Q3907287,,political process > social process > phenomenon > observable entity > entity,mode_score,mode_score,no,0.0,11.8,Q11827330;Q309100,political process;planning
