docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,p279_path,retry_source,match_stage,is_disambiguation,label_similarity,match_score,p31_types,p31_label
1023779,Symposium on Circulation of Security Models in Southern African Cities,Security governance,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Neoliberalization,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Circulation of models,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,disruption > occurrence > occurrent > entity > entity,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,disruption > activity > process > occurrent > entity,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,disruption > activity > process > sequence > function,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,disruption > activity > process > sequence > class,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,disruption > stimulus > change > occurrent > entity,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > appliance > physical tool > equipment,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > appliance > physical tool > artificial physical object,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > appliance > physical tool > tool,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > fixed construction > geographical feature > geographic entity,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > fixed construction > geographical feature > concrete object,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > fixed construction > geographical feature > physical location,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > fixed construction > artificial physical object > physical object,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > fixed construction > artificial physical object > artificial object,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > fixed construction > artificial physical object > work,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > obstacle > physical object > material entity,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > obstacle > physical object > concrete object,mode_score,mode_score,no,0.0,50.7,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Gated residential development,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,City Improvement District,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Southern Africa,Southern Africa,Q27394,162726316,,mode_score,mode_score,no,0.0,58.8,Q3502482;Q82794,cultural region;region
1023779,Symposium on Circulation of Security Models in Southern African Cities,Johannesburg,Johannesburg,Q34647,11947620n,,mode_score,mode_score,no,0.0,84.9,Q1066984;Q11271835;Q1549591;Q208511;Q515;Q51929311,largest city;financial center;city;big city;global city;provincial capital
1023779,Symposium on Circulation of Security Models in Southern African Cities,Cape Town,Cape Town,Q5465,119432557,,mode_score,mode_score,no,0.0,80.1,Q105742469;Q108178728;Q15042037;Q1549591;Q2264924,statistical territorial entity;national capital;port city;big city;legislative capital
1023779,Symposium on Circulation of Security Models in Southern African Cities,Windhoek,Windhoek,Q3935,14549030h,,mode_score,mode_score,no,0.0,57.9,Q1549591;Q515,big city;city
1023779,Symposium on Circulation of Security Models in Southern African Cities,Maputo,Maputo,Q3889,,,mode_score,mode_score,no,0.0,62.3,Q1549591;Q2264924;Q515;Q56036687,big city;municipality of Mozambique;port city;city
1023779,Symposium on Circulation of Security Models in Southern African Cities,Néoliberalisation,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Transfert de politiques,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Sécurité,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Mobilité des politiques urbaines,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,redevelopment > construction > economic activity > intentional human activity > human activity,mode_score,mode_score,no,0.0,13.5,Q1441983,redevelopment
